model,rank_A,rank_B,auprc_A,auprc_B,family,rank_change,degradation,degradation_pct
XGBoost,1.0,2.0,0.6256413556472725,0.6267626628400267,Boosted trees,-1,-0.0011,-0.2
LightGBM,2.0,1.0,0.6158764144752885,0.637218236613302,Boosted trees,1,-0.0213,-3.5
CatBoost,3.0,4.0,0.6121030203910983,0.6212819285102199,Boosted trees,-1,-0.0092,-1.5
FT-Transformer,4.0,3.0,0.5919866395264517,0.6217230251042484,Neural (tabular),1,-0.0297,-5.0
MLP,5.0,5.0,0.5908869237219946,0.6200400610909073,Neural (tabular),0,-0.0292,-4.9
RandomForest,6.0,8.0,0.5575964333665736,0.5768070761879213,Bagged trees,-2,-0.0192,-3.4
LogisticRegression,7.0,6.0,0.5551157740656196,0.6063784994988066,Linear,1,-0.0513,-9.2
GRU-D,8.0,7.0,0.5459001820441323,0.5857738398373762,Sequence,1,-0.0399,-7.3
TFT,9.0,10.0,0.5414330164593141,0.5564671289442539,Sequence,-1,-0.015,-2.8
LSTM,10.0,9.0,0.527652868464039,0.5659809119887922,Sequence,1,-0.0383,-7.3
