model,cal_slope_A,cal_slope_B,cal_intercept_A,cal_intercept_B,brier_A,brier_B
CatBoost,1.1013411674622289,0.7682699990925753,-1.5171986846197136,-0.2605617530926537,0.09555183848085215,0.07728934676237166
FT-Transformer,0.8357022104687467,0.9433997368868279,-1.6273777519883932,-1.9878339944630994,0.10736885137301846,0.14456609286039424
GRU-D,0.8581623708052448,0.8629431385261477,-1.7729297467480187,-1.5832459830251322,0.12671715212326953,0.1278843686670165
LSTM,0.8490084818678154,1.0035404603602744,-1.7912972206069453,-1.7292863119796211,0.13006068800320517,0.133787565327921
LightGBM,0.3221845297382037,0.8285711435200706,-0.02755930815857158,-0.5250380381626207,0.07209922889531621,0.07812244457981389
LogisticRegression,0.7513622255070649,0.8377523630817331,-1.925722243465643,-2.19692188953306,0.1268975216424302,0.16372617799782638
MLP,1.066959461423125,0.979607003778015,0.012579973976417512,0.08530724368647837,0.06562903697870347,0.07702743408249642
RandomForest,1.270344580393204,1.5096720173641163,-0.8973852621013292,-1.3090186125096999,0.08360319856106393,0.11322686304403883
SAPS-II (lite),1.058599651429706,1.1206395340378177,0.11372313794827386,0.4403562622995848,0.09026345372398471,0.10501022381954842
SOFA (modified),1.0972092644287244,1.1593575903757567,0.18009244190210758,0.51364940323366,0.08945296193638606,0.10492128634606793
TFT,0.9172454284069224,0.9352183280541603,-1.8698260195457213,-1.5579067058095537,0.13155579034850257,0.12681572324196674
XGBoost,0.9823668113186912,0.8162249427104707,-1.339586804887557,-0.5170125686382828,0.08637106882723197,0.07870419437683406
